mlb_id,mlb_name,bp_id,fangraphs,fg_RE24,bp_ERA,bp_FIP,fg_xFIP,bp_cFIP,bp_DRA,fg_SIERA
451088,Justin Sellers,48886,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
475253,Justin Smoak,58692,9054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
476206,Justin Thomas,49004,9910,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
457759,Justin Turner,51991,5235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
457708,Justin Upton,51985,5222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
434378,Justin Verlander,45613,8700,9.97,3.38,3.46,4.15,89,2.65,3.95
458677,Justin Wilson,59179,4301,14.38,3.1,2.66,3.12,81,2.83,2.96
434180,Kameron Loe,38592,4422,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572751,Keith Butler,60182,10080,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571633,Kelly Dugan,59634,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
430637,Kelly Johnson,31349,2234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
431159,Kelly Shoppach,31726,3867,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
516969,Kelvin Herrera,56449,6033,9.27,2.71,3.41,3.82,95,2.94,3.6
571704,Ken Giles,70354,12910,11.48,1.8,2.16,3.05,74,2.42,2.8
608665,Kendall Graveman,102077,15514,-2.73,4.05,4.57,4.3,113,4.94,4.43
572309,Kendry Flores,66605,12118,0.65,4.97,2.93,4.76,104,5.27,4.43
434778,Kendrys Morales,45379,8610,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
445276,Kenley Jansen,47965,3096,7.26,2.41,2.17,2.29,57,2.18,1.43
573627,Kennys Vargas,60293,12101,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
547887,Kensuke Tanaka,43505,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
605309,Keone Kela,71016,14696,13.12,2.39,2.61,2.88,76,2.98,2.7
606466,Ketel Marte,69790,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
607345,Kevan Smith,69944,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
502087,Kevin Chapman,65805,11240,-1.09,3.38,4.23,3.76,95,4.8,3.02
