NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Ryan Reid,Pirates,11,0.05, , , , ,-5.23,2.94, , , ,4.01, , ,9385
Alex Torres,Rays,58,1.7,2.73,-1.07, , , ,0.57, , , ,2.19, , ,7038
Rex Brothers,Rockies,67.1,0.81,-0.1, , , , ,1.94, , , ,-3.93, , ,9794
Sean Marshall,Reds,10.1,6.65,1.74, , , , ,1.47,4.23, , , , , ,5905
Clay Buchholz,Red Sox,108.1,1.46,1.92,3.19,-0.36, , , ,1.01, , ,-0.05, , ,3543
Sergio Santos,Blue Jays,25.2,1.82, , , , ,-3.56,5.65, , , ,2.32, , ,4734
Caleb Thielbar,Twins,46,3.88,2.19,-1.84, , , ,1,-6.55, , ,2.32, , ,10078
Kevin Chapman,Astros,20.1,1.41,2.02, , , , ,0.27,-22.59, , , , , ,11240
David Carpenter,Braves,65.2,1.22,2.93, , , , ,1.59, , , ,2.31, , ,3959
Joe Martinez,Indians,5,-1.89,7.17, , , , , ,3.22, , ,-1, , ,3935
Craig Breslow,Red Sox,59.2,0.92,1.84, , , , ,-0.12,1.87, , ,-2.53, , ,4363
Clayton Kershaw,Dodgers,236,1.88, , , , , ,0.65,2.72, , ,-0.77, , ,2036
Javier Lopez,Giants,39.1,-2.8,1.65, , , , ,1.48,2.2, , ,-3.7, , ,1663
Danny Duffy,Royals,24.1,0.48,1.1,0.42, , , ,1.55,0.18, , ,2.07, , ,3542
Kenley Jansen,Dodgers,76.2,1.09, ,1.89, , , ,0.4, , , , , , ,3096
Tanner Scheppers,Rangers,76.2,1.46, , , , , , ,0.93, , ,-3.56, , ,10267
Luke Hochevar,Royals,70.1,1.66, ,2.68, , ,3.63,-8.57,-3.18,0.97, ,-9.45, , ,6943
Stolmy Pimentel,Pirates,9.1,0.86,3.79,-3.56, , , ,4.11, , , ,2.17, , ,6415
Mauricio Robles,Phillies,4.2,-2.05,-0.08, , , , ,3.61, , , ,-6.52, , ,8895
Jarred Cosart,Astros,60,1.03, ,1.35, , ,2.53, ,-0.58, , ,0.19, , ,10304
Matt Reynolds,Diamondbacks,27.1,-0.31, , , , , ,1.09, , , ,2.42, , ,8887
Ryan Brasier,Angels,9,-1.64,21.4, , , , ,5.92, , , ,6.39, , ,5615
Joaquin Benoit,Tigers,67,0.93,0.65, , , , ,2.49, , , ,1.65, , ,1437
Tyler Thornburg,Brewers,66.2,1.11, , , , , , ,1.74, , ,-0.15, , ,10688
David Robertson,Yankees,66.1,1.42, ,1.01, , , , ,1.9,-1.78, ,2, , ,8241
Brandon Cumpton,Pirates,30.2,-0.06,-2.2, , , ,2.35,0.03,13.61, , ,-4.06, , ,11366
Justin Wilson,Pirates,73.2,0.95,4.23,0.72, , , , ,0.34, , ,-2.77, , ,4301
Tom Layne,Padres,8.2,4.03,3.58, , , , ,-5.18,-4.4, , , , , ,7501
Mariano Rivera,Yankees,64,-4.03, ,1.65, , , , , , , , , , ,844
David Purcey,White Sox,25.1,-0.38,0.06, , , , ,0.38,2.31, , ,5.09, , ,8360
Nick Vincent,Padres,46.1,2.66,3.77, , , , ,1.11, , , ,0.02, , ,7555
Jose Dominguez,Dodgers,8.1,-0.86, ,-1.13, , , ,3.77,9.77, , ,-4.13, , ,11571
Bobby Parnell,Mets,50,0.07,3.49, , , , ,2.76,0.98,0.19, ,1.93, , ,9926
Santiago Casilla,Giants,50,1.25,0.47, , , , ,1.16,1.68, , , , , ,2873
J.P. Howell,Dodgers,62,1.87, , , , ,1.64,1.93, , , ,-3.69, , ,8245
Darren O'Day,Orioles,62,0.2, , , , ,-0.64,1.73, , , , , , ,3321
Jose Fernandez,Marlins,172.2,0.9,1.67,-2.2, , , ,0.39,2.66, , ,1.31, , ,11530
Sam Freeman,Cardinals,12.1,-0.39,6.09,6.81, , , ,9.3, , , ,3.68, , ,6832
Brad Ziegler,Diamondbacks,73, , , , , ,1.32, ,2.5, , ,1.22, , ,7293
Alex Colome,Rays,16,0.86, ,-2.2, , , , , , , ,-1.33, , ,6661
Vidal Nuno,Yankees,20,-1.9,3.43,12.78, , , ,2.73,-0.17, , ,-6.14, , ,9674
Nick Christiani,Reds,4,-2.94,2.96, , , , ,6.69, , , , , , ,10332
Hideki Okajima,Athletics,4,-5.16, , ,-2.71, , , ,0.25, , , , , ,7763
Matt Harvey,Mets,178.1,1.96,1.23, , , , ,0.56,1.63, , ,1.62, , ,11713
Joe Smith,Indians,63, , , , , ,0.12,1.87, , , , , , ,3281
Randy Choate,Cardinals,35.1,2.68, , , , ,1.35,2.11, , , , , , ,813
Glen Perkins,Twins,62.2,1.18,3.38, , , , ,-0.06, , , ,-2.85, , ,8041
Jenrry Mejia,Mets,27.1,0.72,-10.13,-0.13, , , ,3.87,-5.1, , ,1.4, , ,8476
Paco Rodriguez,Dodgers,54.1,-1.43,-1.19, , , ,-5.61,2.22,2.79, , ,1.65, , ,13398
Antonio Bastardo,Phillies,42.2,0.61,0.16, , , , ,0.77, , , ,1.81, , ,8844
Seth Maness,Cardinals,62,3.13,6.14, , , ,1.51,-0.53,-5.87, , ,-1.33, , ,12235
Steve Cishek,Marlins,69.2, , , , , ,1.55,1.03, , , ,1.3, , ,6483
J.J. Putz,Diamondbacks,34.1,1.53,-5.61,-2.33,-1, , ,-0.43, , , , , , ,1795
Drew Smyly,Tigers,76,1.59,0.88,0.14, , , ,0.97, , , ,-2.83, , ,11760
Jean Machi,Giants,53,1.96,-5.79, , , , , ,3.44, , ,0.64, , ,3220
Tony Watson,Pirates,71.2,5.87, , , , ,0.86,0.02, , , ,3.84, , ,3132
Thad Weber,- - -,15,0.16,-5.38, , , , , ,1.8, , ,-8.95, , ,8036
Tyler Clippard,Nationals,71,1.72, ,4.17, , , ,-1.89, , , ,1.33, , ,5640
Cody Allen,Indians,70.1,-0.1, , , , , ,1.46,1.16, , , , , ,12183
Dustin McGowan,Blue Jays,25.2,-0.94,-1.24, , , , ,3.38, , , ,-3.63, , ,8600
Cesar Cabral,Yankees,3.2,0.62,14.32, ,-1.01, , ,2.66, , , ,-0.01, , ,6741
Aaron Loup,Blue Jays,69.1, ,0.39, , , , ,-0.99, , , ,1.69, , ,10343
Scott Downs,- - -,43.1, , , , , ,0.7,2.85,-0.31, , , , , ,773
Eric O'Flaherty,Braves,18,5.55, , , , ,0.32,3.03, , , ,-0.48, , ,5746
Sergio Romo,Giants,60.1,-1.96, ,-13.55, , ,-0.79,2.3, , , ,-0.05, , ,9817
Ryan Cook,Athletics,67.1,-0.11,-1.95, , , , ,2.9, , , ,1.47, , ,8855
