"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Wilton Lopez","Rockies","75.1","3.04","4.06","93","5.52","3.57","3.69","98","3.59","88","4227"
"Wei-Yin Chen","Orioles","137.0","7.44","4.07","99","5.00","4.04","4.14","104","4.16","98","13071"
"Vinnie Pestano","Indians","35.1","-3.26","4.08","103","5.35","5.03","4.52","114","3.98","127","4782"
"Rafael Betancourt","Rockies","28.2","0.22","4.08","93","3.69","3.22","4.22","112","3.64","79","177"
"Logan Ondrusek","Reds","55.0","-2.27","4.09","107","4.29","3.94","3.44","91","3.11","101","3677"
"Henry Rodriguez","- - -","22.0","-6.15","4.09","109","7.76","6.14","6.32","168","6.22","164","6371"
"Kevin Slowey","Marlins","92.0","-4.66","4.11","110","4.91","3.81","4.01","107","3.85","104","9918"
"Jonathan Broxton","Reds","30.2","-2.00","4.11","108","4.85","4.68","4.50","120","3.84","120","4759"
"Heath Bell","Diamondbacks","65.2","-2.32","4.11","106","4.91","4.10","3.08","82","2.71","109","2080"
"Preston Claiborne","Yankees","50.1","3.66","4.11","101","4.26","4.14","3.88","98","3.45","101","10500"
"Robbie Erlin","Padres","54.2","-0.90","4.12","116","4.58","3.83","3.98","106","4.12","103","10354"
"Tom Wilhelmsen","Mariners","59.0","-0.49","4.12","107","4.31","3.69","4.57","115","4.51","96","9975"
"Jose Cisnero","Astros","43.2","-5.47","4.12","103","5.07","4.24","4.31","109","3.95","105","6399"
"Alfredo Figaro","Brewers","74.0","-8.80","4.14","107","5.46","4.87","3.64","97","3.53","124","8404"
"Cesar Ramos","Rays","67.1","-0.09","4.14","108","4.41","3.70","4.02","101","3.74","95","3357"
"Tommy Milone","Athletics","156.1","-9.21","4.14","107","4.43","4.30","4.15","105","3.99","110","7608"
"Ross Wolf","Rangers","47.2","0.49","4.15","98","6.36","4.54","4.43","112","4.54","111","4534"
"Mark Buehrle","Blue Jays","203.2","4.77","4.15","102","4.64","4.10","4.09","103","4.13","102","225"
"Nate Jones","White Sox","78.0","1.76","4.15","102","3.11","2.64","2.77","70","2.56","65","4696"
"C.C. Lee","Indians","4.1","-0.83","4.15","105","3.49","3.97","6.18","155","4.81","100","5177"
"Garrett Richards","Angels","145.0","-3.36","4.16","110","3.88","3.66","3.58","90","3.63","96","9784"
"Jake Peavy","- - -","144.2","0.30","4.17","101","4.38","3.96","4.03","102","3.87","99","1051"
"Kevin Correia","Twins","185.1","1.86","4.18","104","5.40","4.40","4.24","107","4.50","111","1767"
"Bud Norris","- - -","176.2","-0.76","4.18","103","4.35","3.86","4.22","106","4.19","95","9492"
"Yovani Gallardo","Brewers","180.2","-6.35","4.18","108","4.92","3.89","3.74","99","3.98","99","8173"
"Phillippe Aumont","Phillies","19.1","-7.66","4.19","112","5.03","3.57","4.48","119","4.15","93","5362"
"Chia-Jen Lo","Astros","19.1","-0.91","4.19","105","5.35","4.75","4.89","123","4.80","118","5440"
"Danny Farquhar","Mariners","55.2","0.29","4.20","109","2.48","1.86","2.40","61","2.23","49","8501"
"R.A. Dickey","Blue Jays","224.2","-3.96","4.21","104","4.82","4.58","4.23","107","4.10","114","1245"
"Jeurys Familia","Mets","10.2","-2.32","4.22","120","6.06","6.52","5.49","146","5.42","174","5114"
"T.J. McFarland","Orioles","74.2","-2.85","4.22","103","4.14","3.84","3.68","93","3.49","93","3237"
"Jose Mijares","Giants","49.0","-11.96","4.22","122","3.73","3.05","3.90","104","3.37","86","4140"
"Juan Gutierrez","- - -","55.1","2.97","4.23","109","4.12","3.73","4.09","103","3.76","96","3265"
"Joe Ortiz","Rangers","44.2","-3.10","4.23","100","6.29","3.97","3.83","96","3.91","97","7955"
"Evan Reed","Tigers","23.1","-4.51","4.24","105","4.61","3.86","3.92","99","3.65","97","1349"
"Randall Delgado","Diamondbacks","116.1","-6.01","4.26","109","5.53","4.99","3.94","105","4.02","132","5985"
"Chris Capuano","Dodgers","105.2","-13.51","4.26","119","3.90","3.55","3.67","97","3.80","95","1701"
"Frank Francisco","Mets","6.1","1.30","4.26","121","2.82","3.05","4.34","115","3.69","81","1933"
"Michael Bowden","Cubs","37.2","-2.17","4.30","115","5.33","4.30","5.04","134","4.67","114","4440"
"David Aardsma","Mets","39.2","-1.15","4.31","122","5.92","5.27","4.63","123","4.01","140","1902"
"Matt Belisle","Rockies","73.0","2.24","4.32","98","4.94","3.03","2.99","79","2.91","75","1837"
"Rick Porcello","Tigers","177.0","3.58","4.32","107","4.21","3.53","3.19","81","3.31","89","2717"
"Felix Doubront","Red Sox","162.1","-6.24","4.32","103","4.29","3.78","4.14","104","4.19","97","1478"
"Todd Redmond","Blue Jays","77.0","1.45","4.32","107","4.50","4.40","4.16","105","3.65","109","9943"
"Chris Perez","Indians","54.0","0.07","4.33","109","5.75","5.08","3.83","97","3.40","128","5213"
"Josh Outman","Rockies","54.0","-1.10","4.33","99","4.42","3.25","3.62","96","3.35","80","4004"
"Jeff Samardzija","Cubs","213.2","-4.40","4.34","116","4.18","3.77","3.45","92","3.53","100","3254"
"Jeremy Hefner","Mets","130.2","-18.26","4.34","123","4.44","4.49","4.05","108","4.04","119","1989"
"Josh Roenicke","Twins","62.0","-6.70","4.35","108","4.18","4.64","5.30","134","4.80","117","3241"
"Scott Atchison","Mets","45.1","-11.37","4.37","124","4.01","3.75","4.02","107","3.88","100","2642"
"Wily Peralta","Brewers","183.1","-19.22","4.37","113","5.11","4.30","4.13","110","4.32","110","7738"
"Freddy Garcia","- - -","80.1","1.96","4.37","108","6.73","5.49","4.00","102","4.27","136","1077"
"Tim Lincecum","Giants","197.2","-10.36","4.37","127","4.12","3.74","3.56","94","3.68","106","5705"
"Evan Scribner","Athletics","26.2","-1.54","4.39","113","3.81","3.87","4.51","114","3.98","99","7525"
"Shawn Kelley","Yankees","53.1","3.95","4.39","108","3.90","3.63","3.24","82","2.68","89","7773"
"George Kontos","Giants","55.1","-8.56","4.39","127","4.60","4.08","3.96","105","3.61","116","9486"
"Zach Miner","Phillies","28.2","-5.35","4.40","117","6.00","5.45","4.98","132","4.82","142","3193"
"Tom Koehler","Marlins","143.0","-9.80","4.41","118","5.02","4.27","4.28","114","4.47","117","6570"
"Carlos Marmol","- - -","49.0","-5.27","4.41","119","5.92","5.19","4.53","121","4.30","138","2790"
"Paul Maholm","Braves","153.0","-14.17","4.41","120","5.15","4.24","3.89","103","4.02","116","8678"
"Daisuke Matsuzaka","Mets","38.2","-3.16","4.42","125","4.47","4.32","4.81","128","4.42","115","7775"
"David Hernandez","Diamondbacks","62.1","-3.01","4.48","115","4.92","4.36","3.99","106","3.28","116","4259"
"Steven Ames","Marlins","4.0","-0.58","4.50","120","3.70","2.55","3.23","86","3.29","70","9615"
"Brett Marshall","Yankees","12.0","-0.53","4.50","111","6.82","7.13","5.48","138","5.03","173","5364"
"Brandon Beachy","Braves","30.0","-2.45","4.50","122","4.10","4.08","3.60","96","3.61","111","8851"
"Ramon Troncoso","White Sox","30.0","-4.50","4.50","111","5.62","5.28","4.91","124","4.74","129","4685"
"Kevin Jepsen","Angels","36.0","-6.38","4.50","119","3.54","3.38","3.93","99","3.46","88","6475"
"Alberto Cabrera","Cubs","6.0","-0.80","4.50","120","7.22","4.71","6.08","162","5.74","125","8352"
"Fernando Salas","Cardinals","28.0","-5.65","4.50","123","3.32","3.62","4.47","119","3.76","97","4971"
"Drew Storen","Nationals","61.2","-4.52","4.52","120","3.99","3.62","3.71","99","3.32","97","6983"
"Brandon McCarthy","Diamondbacks","135.0","-12.15","4.53","116","5.06","3.75","3.77","100","4.01","99","4662"
"Manny Corpas","Rockies","41.2","-0.52","4.54","103","6.14","4.39","4.14","110","4.01","108","2807"
"Pedro Strop","- - -","57.1","-8.81","4.55","115","4.62","3.55","3.30","85","3.07","89","4070"
"J.A. Happ","Blue Jays","92.2","-5.88","4.56","112","4.30","4.31","4.82","121","4.62","107","7410"
"Ryan Dempster","Red Sox","171.1","-7.86","4.57","109","5.42","4.68","4.21","106","4.19","120","517"
"Jerome Williams","Angels","169.1","-11.66","4.57","121","4.93","4.60","4.24","107","4.35","120","1137"
"B.J. Rosenberg","Phillies","19.2","0.11","4.58","122","2.54","2.49","4.29","114","3.75","65","7183"
"Michael Stutes","Phillies","17.2","-1.04","4.58","122","4.06","4.29","5.41","144","5.05","112","6550"
"Erik Bedard","Astros","151.0","-5.78","4.59","115","4.33","4.38","4.61","116","4.35","109","126"
"Al Alburquerque","Tigers","49.0","-1.61","4.59","114","4.50","3.72","3.48","88","3.31","93","6324"
